,AMZN,BRK.B,K,MSFT,XOM
2015-01-02 00:00:00-05:00,308.52,149.13,65.49,46.75,92.81
2015-01-05 00:00:00-05:00,302.1,147.07,64.27,46.33,90.34
2015-01-06 00:00:00-05:00,295.29,146.7,64.43,45.6,89.78
2015-01-07 00:00:00-05:00,298.42,148.81,66.0,46.23,90.72
2015-01-08 00:00:00-05:00,300.46,151.25,67.19,47.59,92.2
2015-01-09 00:00:00-05:00,296.93,149.53,66.44,47.19,92.11
2015-01-12 00:00:00-05:00,291.4,148.33,65.5,46.61,90.41
2015-01-13 00:00:00-05:00,294.73,148.54,65.97,46.355,90.0
2015-01-14 00:00:00-05:00,293.26,147.77,66.75,45.95,89.73
2015-01-15 00:00:00-05:00,286.955,147.6,67.74,45.48,88.97
2015-01-16 00:00:00-05:00,290.48,149.1377,68.11,46.22,91.08
2015-01-20 00:00:00-05:00,289.54,148.52,68.96,46.39,91.08
2015-01-21 00:00:00-05:00,297.26,147.15,69.04,45.91,91.89
2015-01-22 00:00:00-05:00,310.39,150.13,69.83,47.12,92.88
2015-01-23 00:00:00-05:00,312.42,149.14,68.67,47.18,90.87
2015-01-26 00:00:00-05:00,309.65,149.63,68.88,47.05,91.75
2015-01-27 00:00:00-05:00,306.78,147.66,68.45,42.67,90.931
2015-01-28 00:00:00-05:00,303.91,144.81,67.38,41.2,87.95
2015-01-29 00:00:00-05:00,311.78,146.5,67.35,42.02,87.57
2015-01-30 00:00:00-05:00,354.55,144.06,65.57,40.42,87.31
2015-02-02 00:00:00-05:00,364.589,146.71,66.47,41.28,89.56
2015-02-03 00:00:00-05:00,363.395,148.34,66.65,41.59,92.25
2015-02-04 00:00:00-05:00,364.685,147.41,66.63,41.83,91.45
2015-02-05 00:00:00-05:00,373.89,149.59,67.02,42.46,92.36
2015-02-06 00:00:00-05:00,374.33,150.07,66.24,42.42,91.49
2015-02-09 00:00:00-05:00,370.75,149.08,65.8,42.35,91.53
2015-02-10 00:00:00-05:00,373.0,149.94,66.29,42.6,90.9829
2015-02-11 00:00:00-05:00,375.15,149.6,66.3,42.37,90.6
2015-02-12 00:00:00-05:00,377.16,149.66,63.3042,43.08,92.36
2015-02-13 00:00:00-05:00,381.86,148.4063,63.2,43.86,93.36
2015-02-17 00:00:00-05:00,375.4,149.07,63.22,43.575,92.97
2015-02-18 00:00:00-05:00,373.245,148.58,63.8,43.53,90.99
2015-02-19 00:00:00-05:00,378.9,147.53,63.79,43.51,89.47
2015-02-20 00:00:00-05:00,383.65,148.59,64.09,43.86,89.92
2015-02-23 00:00:00-05:00,380.14,147.35,64.29,44.15,88.99
2015-02-24 00:00:00-05:00,378.51,148.97,64.03,44.1,89.42
2015-02-25 00:00:00-05:00,385.48,148.75,64.79,43.98,89.58
2015-02-26 00:00:00-05:00,384.79,148.33,64.68,44.05,88.65
2015-02-27 00:00:00-05:00,380.26,147.37,64.48,43.84,88.5401
2015-03-02 00:00:00-05:00,385.65,147.03,64.29,43.87,88.02
2015-03-03 00:00:00-05:00,384.59,145.89,64.73,43.27,87.63
2015-03-04 00:00:00-05:00,382.54,144.88,64.72,43.06,87.1899
2015-03-05 00:00:00-05:00,387.69,146.09,64.04,43.09,86.72
2015-03-06 00:00:00-05:00,380.09,145.37,62.46,42.365,85.61
2015-03-09 00:00:00-04:00,378.56,146.06,62.61,42.83,85.16
2015-03-10 00:00:00-04:00,369.63,143.27,62.61,42.045,84.31
2015-03-11 00:00:00-04:00,366.38,143.55,61.98,41.98,84.03
2015-03-12 00:00:00-04:00,374.24,145.64,62.32,41.01,84.22
2015-03-13 00:00:00-04:00,370.53,144.03,62.14,41.37,83.91
2015-03-16 00:00:00-04:00,373.35,145.91,62.83,41.54,84.76
2015-03-17 00:00:00-04:00,371.93,144.77,62.23,41.7,84.09
2015-03-18 00:00:00-04:00,375.07,145.97,63.05,42.5,86.055
2015-03-19 00:00:00-04:00,373.19,144.9499,62.82,42.28,84.42
2015-03-20 00:00:00-04:00,378.49,145.65,64.03,42.76,84.54
2015-03-23 00:00:00-04:00,375.11,145.55,63.97,42.85,85.38
2015-03-24 00:00:00-04:00,374.1,144.3,62.95,42.91,84.5
2015-03-25 00:00:00-04:00,370.94,143.6,63.14,41.46,84.8598
2015-03-26 00:00:00-04:00,367.28,143.04,63.0,41.2,84.31
2015-03-27 00:00:00-04:00,370.74,143.75,63.84,41.01,83.56
2015-03-30 00:00:00-04:00,374.74,145.91,65.5,40.94,85.6
2015-03-31 00:00:00-04:00,372.11,144.68,65.97,40.65,84.94
2015-04-01 00:00:00-04:00,370.19,143.6,66.18,40.71,84.455
2015-04-02 00:00:00-04:00,372.265,143.48,66.38,40.29,84.28
2015-04-06 00:00:00-04:00,377.23,143.76,66.04,41.55,85.14
2015-04-07 00:00:00-04:00,374.3,143.02,65.73,41.53,85.72
2015-04-08 00:00:00-04:00,381.2,143.25,65.59,41.42,84.07
2015-04-09 00:00:00-04:00,383.55,143.63,65.48,41.48,84.64
2015-04-10 00:00:00-04:00,382.64,143.55,65.73,41.72,85.54
2015-04-13 00:00:00-04:00,382.46,143.415,65.44,41.77,85.36
2015-04-14 00:00:00-04:00,385.12,142.83,65.575,41.65,86.64
2015-04-15 00:00:00-04:00,383.431,142.63,65.17,42.26,88.03
2015-04-16 00:00:00-04:00,386.03,142.12,65.04,42.17,87.73
2015-04-17 00:00:00-04:00,375.52,140.7,64.39,41.62,86.92
2015-04-20 00:00:00-04:00,389.5,142.04,64.59,42.9,87.25
2015-04-21 00:00:00-04:00,391.18,141.19,63.85,42.64,86.89
2015-04-22 00:00:00-04:00,389.8,141.98,63.97,42.98,87.45
2015-04-23 00:00:00-04:00,390.0,142.45,63.87,43.35,87.57
2015-04-24 00:00:00-04:00,445.02,142.05,63.73,47.87,87.0
2015-04-27 00:00:00-04:00,438.56,141.1,63.595,48.03,87.02
2015-04-28 00:00:00-04:00,429.31,142.61,63.69,49.16,87.82
2015-04-29 00:00:00-04:00,429.37,142.44,63.39,49.05,87.84
2015-04-30 00:00:00-04:00,421.69,141.25,63.35,48.66,87.37
2015-05-01 00:00:00-04:00,422.87,143.26,63.89,48.65,88.84
2015-05-04 00:00:00-04:00,423.03,146.13,64.14,48.24,89.09
2015-05-05 00:00:00-04:00,421.18,144.59,63.17,47.61,88.615
2015-05-06 00:00:00-04:00,419.12,143.86,63.0,46.29,88.22
2015-05-07 00:00:00-04:00,426.96,145.37,63.57,46.7,87.61
2015-05-08 00:00:00-04:00,433.67,148.29,63.615,47.72,88.99
